X,Y
19.565833863002982, 0.03314917127071826
20.758812888084876, 0.04419889502762442
22.532635799149272, 0.04751381215469608
26.183933897227796, 0.04198895027624305
27.964275819358207, 0.05082872928176796
28.66311380563569, 0.04309392265193368
31.025603415961797, 0.045303867403314935
31.865903942371943, 0.05745856353591161
34.10909565018987, 0.05856353591160224
36.00612787040207, 0.06629834254143652
37.538747372023664, 0.06519337016574578
38.72911879267916, 0.07403314917127068
40.72980328884109, 0.06961325966850829
41.937124138268224, 0.09281767955801112
42.87195032513568, 0.08508287292817684
44.05449893251195, 0.0872928176795581
45.8152838214443, 0.07955801104972382
48.176469629557204, 0.08066298342541434
47.147117782232435, 0.10828729281767957
49.14910608060758, 0.1049723756906078
49.9802799915253, 0.1093922651933702
51.643931615573926, 0.11933701657458562
51.61003275803061, 0.09060773480662987
53.39950129565345, 0.10718232044198894
54.832379927964936, 0.12154696132596687
56.003194315422355, 0.1138121546961326
57.64989651069934, 0.1093922651933702
58.96217343828942, 0.12154696132596687
60.1812285076354, 0.15469613259668513
61.34030867517398, 0.13701657458563543
62.16365977281247, 0.13480662983425418
64.7490995615965, 0.12596685082872938
63.157157059274134, 0.17679558011049723
65.1695757753549, 0.18232044198895037
66.22109226030412, 0.17348066298342546
66.80975895956584, 0.17237569060773483
67.66961651917404, 0.2011049723756907
69.118140778044, 0.22872928176795587
71.95260678955003, 0.23093922651933713
73.97675972554964, 0.24640883977900557
69.8958587982203, 0.1878453038674034
71.08492641666263, 0.19558011049723767
73.24011147508924, 0.22209944751381222
75.09216251894588, 0.2917127071823205
76.15802082824038, 0.29502762430939233
77.21866392868202, 0.29392265193370176
78.98466402646721, 0.2906077348066299
78.00420476213759, 0.2596685082872929
81.2539317785492, 0.31381215469613266
84.31004416629997, 0.3038674033149172
85.38502909108689, 0.3149171270718233
80.02509819260419, 0.3723756906077349
82.04012451311138, 0.3801104972375692
83.01015335973534, 0.40220994475138133
86.16470281458302, 0.3756906077348068
88.26512818005511, 0.35580110497237577
91.56374777946186, 0.3513812154696134
89.95485584836783, 0.3878453038674034
87.1621115076843, 0.42099447513812166
89.71039293339203, 0.48066298342541447
92.42490914128328, 0.5812154696132599
